,Date,Price,MarketCap,TransactionCount,ActiveAddress,RiskFree,Asset
0,2010-07-12,0.08584000000000001,295941.984,9847.0,13932,0.16,BTC
1,2015-08-03,0.7198301094100671,52068940.67928958,5691.0,1970,0.03,ETH
2,2013-05-13,3.1491,56016348.254999995,45636.0,63963,0.02,LTC
3,2020-09-28,52.6750349633685,0.0,0.0,3115,0.09,AAVE
4,2018-03-05,0.867481,80048299.607358,0.0,2690,1.53,ABT
5,2019-06-24,1.9357000000000002,0.0,0.0,572,2.12,AMPL
6,2018-02-12,4.57688,122120962.07696,0.0,1338,1.35,ANT
7,2021-01-18,0.6213085867587,0.0,0.0,2413,,ARMOR
8,2020-11-30,9.14179654322905,0.0,0.0,8907,0.08,BADGER
9,2020-06-22,12.1125183547,0.0,0.0,3954,0.14,BAL
10,2019-09-16,0.729028037963,0.0,0.0,163,2.08,BAND
11,2018-02-12,0.426738,426738000.0,0.0,3444,1.35,BAT
12,2018-02-12,1.2252,129109206.4632,0.0,138,1.35,BIX
13,2018-02-12,5.48121,213055034.16117102,0.0,1281,1.35,BNT
14,2020-10-26,126.61252460971744,3506305.420273647,,,0.08,BOND
15,2018-02-12,1.02355,76140246.82,0.0,477,1.35,BRD
16,2019-09-16,1.00351600086,0.0,0.0,25,2.08,BUSD
17,2020-07-13,0.358035819751,0.0,0.0,8684,0.11,BZRX
18,2019-03-25,0.019595116008400002,0.0,0.0,2450,2.47,CELR
19,2018-08-13,0.008704262400000001,5012098.237097299,0.0,260,1.93,CHSB
20,2018-02-12,0.172652,249650750.21668,0.0,1810,1.35,CND
21,2020-06-15,341.455896452,481307570.0408325,0.0,6643,0.15,COMP
22,2020-08-03,42.1269121751,779506.8992729554,0.0,1128,0.09,CREAM
23,2018-12-10,0.015350026946400001,0.0,0.0,7900,2.32,CRO
24,2020-08-10,5.85836527892,2736381.63235532,0.0,10797,0.09,CRV
25,2018-02-12,0.427535,146516229.96381,0.0,3018,1.35,CVC
26,2020-08-24,4.51614952609,22259998.374335654,0.0,2435,0.09,CVP
27,2019-11-18,1.00802942225,1324775.8619961718,0.0,5784,1.59,DAI
28,2018-10-22,0.1393741044,177853.0596195415,,,2.18,DDX
29,2018-02-12,0.0246873,262049788.2724953,0.0,2260,1.35,DENT
30,2018-08-13,40.5824857435,2302512.1631933893,0.0,89,1.93,DGX
31,2020-09-14,1.18805975865,0.0,0.0,735,0.1,DHT
32,2020-07-06,1.4192968868,0.0,0.0,4004,0.12,DMG
33,2020-09-28,0.0664327156895,0.0,0.0,465,0.09,DODO
34,2020-09-28,1.85233805168602,2778505.225190978,0.0,1456,0.09,DOUGH
35,2018-02-12,1.8132700000000002,432323351.14379996,0.0,3999,1.35,DRGN
36,2018-02-12,1.47723,369307500.0,0.0,1086,1.35,ELF
37,2018-02-12,3.03756,227319359.58276,0.0,1838,1.35,ENG
38,2018-02-12,0.197294,149192250.00029,0.0,1495,1.35,ENJ
39,2018-08-13,1.1622827525,0.0,0.0,46,1.93,EURS
40,2019-02-25,0.36188064582699997,0.0,0.0,238,2.44,FET
41,2019-07-29,1.80099060593,0.0,0.0,71,2.12,FTT
42,2018-02-12,0.0588751,265155127.8212539,0.0,4636,1.35,FUN
43,2018-02-12,156.848,173252732.32000002,0.0,632,1.35,GNO
44,2018-10-01,1.0010357708,0.0,0.0,44,2.13,GUSD
45,2020-09-14,0.0656868629602,0.0,0.0,979,0.1,HEGIC
46,2018-05-07,0.0011699500000000001,155854392.20376217,0.0,4461,1.69,HOT
47,2019-01-28,0.00259162974054,0.0,0.0,5,2.39,HPT
48,2018-04-23,2.35189,117594970.378,0.0,380,1.69,HT
49,2019-10-14,1.00037454216,0.0,0.0,60,,HUSD
50,2020-10-05,7.3023327598614,0.0,0.0,782,0.09,INDEX
51,2018-02-12,5.48777,499623461.18052,0.0,111,1.35,KCS
52,2018-12-31,0.00906402267649,0.0,0.0,117,2.44,LAMB
53,2018-07-30,0.1702568452,41986313.76829984,0.0,250,1.91,LBA
54,2021-01-04,0.99689114650572,0.0,0.0,1766,0.09,LDO
55,2019-05-20,1.49538658813,0.0,0.0,623,2.39,LEO
56,2018-02-12,0.757555,265144250.0,0.0,1656,1.35,LINK
57,2018-03-19,0.127219,49427978.58051111,0.0,1318,1.7,LOOM
58,2018-02-12,0.6817000000000001,382574981.6433,,,1.35,LRC
59,2018-02-12,0.126378,132728396.20573734,0.0,1148,1.35,MANA
60,2019-04-22,0.00442134544371,0.0,0.0,359,2.44,MATIC
61,2020-07-27,3.7005025214,0.0,0.0,576,0.1,MCB
62,2018-02-12,8.75132,115478410.61544,0.0,658,1.35,MCO
63,2018-07-02,0.0199319,43129322.4063025,0.0,7062,1.9,MFT
64,2020-11-30,1.4596275967884,0.0,0.0,2953,0.08,MIR
65,2018-02-12,1083.0,669540924.0,0.0,359,1.35,MKR
66,2018-02-12,141.273,84679036.2,,,1.35,MLN
67,2020-07-13,3.17929403057,0.0,0.0,2108,0.11,MTA
68,2018-02-12,4.9357500000000005,95264881.1355,0.0,1382,1.35,MTL
69,2019-09-23,0.135047703996,0.0,0.0,54,1.94,MX
70,2018-10-08,2.7595000000000003e-05,378875.96511397563,,,,NDX
71,2018-04-30,0.23757599999999998,133042562.37576,0.0,7158,1.65,NEXO
72,2021-01-04,29.31266389925189,0.0,0.0,950,0.09,NFTX
73,2018-08-13,6.4927324041,8760825.629359445,0.0,1146,1.93,NMR
74,2020-10-26,0.66823363618169,0.0,0.0,1897,0.08,Nsure
75,2019-05-06,0.022857014571500002,0.0,0.0,513,2.43,OCEAN
76,2019-04-29,1.5907989762799999,0.0,0.0,53,2.45,OKB
77,2018-02-12,16.6941,1703508567.3432,0.0,14474,1.35,OMG
78,2018-02-12,1.98391,207638619.5221,0.0,2365,1.35,PAY
79,2020-09-07,1.9116891617,0.0,0.0,1848,,PERP
80,2020-09-07,33.6948465444,0.0,0.0,1608,,PICKLE
81,2018-10-29,0.0079016838,0.0,0.0,55,2.17,PNK
82,2020-06-29,0.6411538405899999,0.0,0.0,266,0.11,PNT
83,2018-02-12,1.39679,334629329.4975,0.0,8174,1.35,POLY
84,2018-02-12,0.764921,278307012.415469,0.0,4447,1.35,POWR
85,2018-02-12,27.1339,1004063568.2153,0.0,3162,1.35,PPT
86,2018-02-12,0.9737800000000001,340823000.0,0.0,1123,1.35,QASH
87,2018-06-04,0.149318,53370990.910822004,0.0,15941,1.77,QKC
88,2018-08-13,0.2858365203,0.0,0.0,80,1.93,QNT
89,2018-02-12,3.3669700000000002,168849963.04391998,0.0,785,1.35,RDN
90,2018-05-14,0.11949000000000001,58011687.57590406,0.0,1370,1.7,REN
91,2018-02-12,54.7178,601895800.0,,,1.35,REP
92,2018-02-12,1.5149,119784344.3157,0.0,886,1.35,RLC
93,2020-11-16,119.20241674878358,4342544.0421581855,0.0,2101,0.09,ROOK
94,2018-08-13,0.5364412843,0.0,0.0,13,1.93,RPL
95,2019-05-20,0.00258295849406,0.0,0.0,1004,2.39,RSR
96,2018-06-04,0.9936539999999999,41887775.510622,0.0,717,1.77,SAI
97,2018-02-12,2.9064300000000003,182117982.08552998,0.0,173,1.35,SAN
98,2018-02-12,0.215277,747115338.429276,0.0,4210,1.35,SNT
99,2018-12-03,0.0504926552169,3390077.8344232813,,,2.3,SNX
100,2020-05-18,1.9360108616799998,0.0,0.0,203,0.1,STAKE
101,2018-02-12,1.12663,150321163.17859,0.0,1336,1.35,STORJ
102,2018-12-03,0.999328869384,1190998.2574807587,,,2.3,sUSD
103,2020-08-31,3.1929224961,145149098.73598328,0.0,28899,0.08,SUSHI
104,2018-02-12,0.00419636,110077057.38438107,0.0,2246,1.35,TEL
105,2019-03-25,0.0206170420521,0.0,0.0,9,2.47,TOP
106,2018-08-13,0.0248522812,3434293.297240462,0.0,257,1.93,UBT
107,2020-05-25,1.41974162102,0.0,0.0,125,,UMA
108,2020-09-14,5.2696976793,668646568.1735172,0.0,260554,0.1,UNI
109,2018-10-22,1.0110720931,96583580.84900017,0.0,530,2.18,USDC
110,2019-07-29,1.0015779017,0.0,0.0,13,2.12,USDK
111,2018-09-24,1.0032127018,0.0,0.0,137,2.07,USDP
112,2018-02-12,1.00425,2226563662.4595003,0.0,113,1.35,USDT
113,2018-02-12,0.25446,67835185.76574,0.0,1811,1.35,UTK
114,2018-02-12,274.055,558152745.475,0.0,1256,1.35,VERI
115,2018-02-12,1.8505600000000002,83734199.94848,0.0,1253,1.35,WaBi
